,image_name,text,image_type_folder
0,2022-01-23_02-08-42_UTC_5.jpg,I ate one long burger and now im addicted to doing weed. Stay safe oberlin!,yikyakyeo/image_type_1/
1,2022-03-15_17-38-12_UTC_8.jpg,if you prefer the hot yaks tab to the new yaks tab you're weak,yikyakyeo/image_type_1/
2,2022-03-12_01-47-55_UTC_2.jpg,i was like “how do i have sex w men if i'm scared of sex” but then i found out i'm afraid of men not sex and also that i'm a lesbian",yikyakyeo/image_type_1/
3,2022-10-06_03-53-13_UTC_6.jpg,cicaidian rhythm or something idk I'm not a conservatory student,yikyakyeo/image_type_1/
4,2022-03-02_19-15-28_UTC_3.jpg,for a “selective” school some of y'all are soooooo fucking stupid,yikyakyeo/image_type_1/
5,2022-05-20_20-41-13_UTC_9.jpg,Free drinks tonight at the feve if you're under 21!,yikyakyeo/image_type_1/
6,2022-05-24_18-54-30_UTC_2.jpg,Writing my course eval like I'm trying to ruin this guys life,yikyakyeo/image_type_1/
7,2022-02-23_17-38-33_UTC_4.jpg,Why are the psych majors still single like girl just manipulate someone,yikyakyeo/image_type_1/
8,2022-05-22_12-24-15_UTC_3.jpg,mom said it's my turn on the south lobby piano,yikyakyeo/image_type_1/
9,2022-01-30_01-06-22_UTC_9.jpg,If one finds a way into the library how does one get out,yikyakyeo/image_type_1/
10,2022-09-28_01-12-39_UTC_7.jpg,so called free thinkers when azzies line,yikyakyeo/image_type_1/
11,2022-03-27_04-28-56_UTC_4.jpg,like the classical musician to funny noises pipeline is so real at oberlin i'm not kidding,yikyakyeo/image_type_1/
12,2022-09-07_22-04-39_UTC_2.jpg,realizing that because I'm an RA banging on the wall next to me to get them to shut up is not an acceptable move anymore,yikyakyeo/image_type_1/
13,2022-05-11_02-26-58_UTC_2.jpg,Convinced half of y'all despawn when the weather gets cold,yikyakyeo/image_type_1/
14,2022-03-09_03-19-19_UTC_4.jpg,My roommate and i have a fun routine where everytime I come back to the room after midnight she asks if I'm still a virgin,yikyakyeo/image_type_1/
15,2022-03-21_19-11-37_UTC_8.jpg,damn admissions really just lies in their tour script,yikyakyeo/image_type_1/
16,2022-03-03_16-01-26_UTC_2.jpg,"I made my girl cum one too many times, now she's gone manic trying to solve the economic collapse of the US in the 1980's....damn you Regan",yikyakyeo/image_type_1/
17,2022-01-29_00-53-24_UTC_6.jpg,thought i'd get to spend more time with my gf over winter term but now she spends every day learning russian,yikyakyeo/image_type_1/
18,2022-03-30_20-13-53_UTC_6.jpg,i have a headache and my roommate isnt here to give it a feel better kiss,yikyakyeo/image_type_1/
19,2022-01-28_03-37-57_UTC_8.jpg,Just had to dig my car out of the mesozoic era,yikyakyeo/image_type_1/
20,2022-03-03_01-34-08_UTC_7.jpg,"My uterus is trying to kill me, but not if I kill her first",yikyakyeo/image_type_1/
21,2022-09-09_04-27-26_UTC_8.jpg,so high im seeing God in the line for rathskeller for the past like half hour and I want so badly to just admit defeat and go back to the dorm but I know those tacos will heal my soul,yikyakyeo/image_type_1/
22,2022-11-16_03-11-53_UTC_9.jpg,yikyakyeo is just kind of a dick tbh,yikyakyeo/image_type_1/
23,2022-09-12_23-44-20_UTC_6.jpg,my roommate just slammed his head into the wall in his sleep,yikyakyeo/image_type_1/
24,2022-09-09_16-51-50_UTC_1.jpg,Sneed and Blackboard or whatever those gay pirates are called,yikyakyeo/image_type_1/
25,2022-04-26_02-12-19_UTC_6.jpg,Shoutout to the men's sports teams for constantly underperforming in order to let the women's teams shine. True feminists,yikyakyeo/image_type_1/
26,2022-07-21_19-35-56_UTC_3.jpg,"the question i ask myself to determine if my outfit is hot: would i have been burned at the stake in the 1600s? if yes, the fit is hot",yikyakyeo/image_type_1/
27,2022-04-17_19-45-12_UTC_8.jpg,Ok deadass why the fuck is this man outside of east reading this book outloud at the top of his lungs,yikyakyeo/image_type_1/
28,2022-02-03_01-33-16_UTC_9.jpg,All self-recording and practice rooms and halls are open in the con tomorrow! Just no offices or classes open,yikyakyeo/image_type_1/
29,2022-05-11_11-32-55_UTC_8.jpg,This housing crisis is gonna make the west coast kids turn to tents by the underpass since that's all they know,yikyakyeo/image_type_1/
30,2022-05-20_20-50-34_UTC_6.jpg,shout out to my medicines! i am not sane or normal. but i am a little closer!,yikyakyeo/image_type_1/
31,2022-02-06_01-34-49_UTC_6.jpg,sneed is actually oberlin's first frat,yikyakyeo/image_type_1/
32,2022-05-24_18-53-44_UTC_9.jpg,Looks like I'm lining up to have the deadly period finals combo once again. fml.,yikyakyeo/image_type_1/
33,2022-10-10_16-13-20_UTC_8.jpg,Gender? I hardly know h- I hardly know- I hardly-,yikyakyeo/image_type_1/
34,2022-06-05_22-26-43_UTC_1.jpg,you have to be sooo horny to try to thrift a dildo,yikyakyeo/image_type_1/
35,2022-06-02_19-14-07_UTC_7.jpg,hearing ppl talk about how their colleges are competitive is crazy bc here the only thing we're fighting is suicidal ideation,yikyakyeo/image_type_1/
36,2022-10-27_03-42-20_UTC_4.jpg,i'm so happy yik yak yeo dropped a new notes app apology that shit was so funny last year,yikyakyeo/image_type_1/
37,2022-06-20_19-04-26_UTC_1.jpg,as an upperclassman my biggest advice to obies is date someone with rich parents. there are so many of them. i am on an amazing vacation right now for this reason. do it,yikyakyeo/image_type_1/
38,2022-02-09_01-52-38_UTC_5.jpg,"to the white man who has been erasing my black history month message on my door, i know who you are, and you are a loser.",yikyakyeo/image_type_1/
39,2022-03-07_01-28-17_UTC_1.jpg,shoutout to the people that stole the “use the crosswalk” sign outside the science center,yikyakyeo/image_type_1/
40,2022-04-18_01-34-18_UTC_2.jpg,Dear first years making out in Stevie. Uh. Don't.,yikyakyeo/image_type_1/
41,2022-05-10_01-40-15_UTC_6.jpg,i had a dream last night that there was another dining hall here that served breakfast all day...,yikyakyeo/image_type_1/
42,2022-09-06_03-17-48_UTC_3.jpg,Google calendar should have its own version of spotify wrapped,yikyakyeo/image_type_1/
43,2022-09-07_21-52-35_UTC_7.jpg,printing out a “how to microwave mac and cheese” wikihow for Kahn guys don't worry,yikyakyeo/image_type_1/
44,2022-03-13_03-27-33_UTC_2.jpg,penis. sorry I didn't mean to say that,yikyakyeo/image_type_1/
45,2022-10-08_18-19-21_UTC_8.jpg,50 upvotes and i jerk off to pictures of every member of the board of trustees,yikyakyeo/image_type_1/
46,2022-05-26_02-53-46_UTC_4.jpg,Normalize fighting like people did in high school in adult life. I miss seeing a brawl at 9 am,yikyakyeo/image_type_1/
47,2022-05-20_20-42-25_UTC_8.jpg,Thanks for solving racism carmen,yikyakyeo/image_type_1/
48,2022-04-22_19-32-52_UTC_5.jpg,i feel like the miis when u click on them and shake violently with the wiimote,yikyakyeo/image_type_1/
49,2022-11-10_03-20-07_UTC_4.jpg,tim ryan u were bigger than the whole sky....,yikyakyeo/image_type_1/
50,2022-09-11_04-29-32_UTC_4.jpg,Heart: One day a stranger is gonna talk about me and say how cute and mysterious I was sitting on a bench in tappan... Brain: With that posture?,yikyakyeo/image_type_1/
51,2022-05-30_16-19-32_UTC_5.jpg,Remember when mudd used to be open 24/7 during finals? I miss those times,yikyakyeo/image_type_1/
52,2022-10-03_23-48-13_UTC_10.jpg,Co op majors when the Slutty financial aid themed party is due by the yeobie tonight,yikyakyeo/image_type_1/
53,2022-01-31_01-08-32_UTC_4.jpg,Just moved into a new room and my blinds don't work.. I'm now the naked neighbor..,yikyakyeo/image_type_1/
54,2022-05-30_14-43-49_UTC_6.jpg,using my ugly privilege to walk across campus in the utter darkness,yikyakyeo/image_type_1/
55,2022-03-10_02-26-45_UTC_4.jpg,three weeks in and already at the point in the semester where everyone wants to die,yikyakyeo/image_type_1/
56,2022-10-31_04-32-44_UTC_4.jpg,Mfs with their sleeping caps and candlesticks unbothered af rn,yikyakyeo/image_type_1/
57,2022-01-26_01-57-54_UTC_6.jpg,"I love how everyone was freaking out about spending their flex at decafe, while me, an intellectual, already spent all of it and used the packed decafe to steal anything I wanted. Amateurs. Fuck AVI.",yikyakyeo/image_type_1/
58,2022-02-08_01-19-10_UTC_4.jpg,doing an individual wt with adhd was a mistake i am so bad at structuring my days,yikyakyeo/image_type_1/
59,2022-04-25_15-14-34_UTC_2.jpg,y'all WHEN YOU GO OUTSIDE TODAY DO NOT APPROACH the dead albino squirrel. It is CONFIRMED THAT IT WILL GIVE. YOU covid19 PLEASE BE. CAREFUL,yikyakyeo/image_type_1/
60,2022-04-25_15-14-34_UTC_3.jpg,Y'all talking about this quarantine shit like it's hard.... If u haven't spent five days alone in ur room have you really had the Oberlin experience,yikyakyeo/image_type_1/
61,2022-03-10_02-26-45_UTC_5.jpg,how am i supposed to do drugs when i have all this school in between,yikyakyeo/image_type_1/
62,2022-02-08_01-19-10_UTC_5.jpg,President Ambar we regret to inform you that there is a quirked up white boy bustin it sexual style in the halls of barrows and the virgins are up in arms.,yikyakyeo/image_type_1/
63,2022-01-26_01-57-54_UTC_7.jpg,That tension you feel when you and your crush are both online on Instagram and you just stare at their little green dot... And suddenly you know what Gatsby felt like.,yikyakyeo/image_type_1/
64,2022-10-31_04-32-44_UTC_5.jpg,can this be an oberlin halloween tradition???? i kinda like the dark,yikyakyeo/image_type_1/
65,2022-05-30_14-43-49_UTC_7.jpg,Me: trying to study in mudd. The endless loop of vintage contact dance improv playing,yikyakyeo/image_type_1/
66,2022-04-29_19-18-30_UTC_10.jpg,listening to her playlists to try to understand her emotional state,yikyakyeo/image_type_1/
67,2022-01-31_01-08-32_UTC_5.jpg,Winter term project: survive,yikyakyeo/image_type_1/
68,2022-05-30_16-19-32_UTC_4.jpg,Instead of hot girl summer I'm gonna do buff girl summer. I will be hot and unbothered.,yikyakyeo/image_type_1/
69,2022-06-22_18-36-21_UTC_1.jpg,Obies spend the whole year talking about how broke they are then go to Europe for the summer lmao,yikyakyeo/image_type_1/
70,2022-09-11_04-29-32_UTC_5.jpg,"i want this wasp to eat my wasabi, i want to see it suffer",yikyakyeo/image_type_1/
71,2022-11-10_03-20-07_UTC_5.jpg,Damn if the jesus freaks in tappan are saying they're answering questions about science maybe i should bring my biochem homework over and ask for some help lmao,yikyakyeo/image_type_1/
72,2022-05-20_20-42-25_UTC_9.jpg,Feeling like a celebrity after walking into the class that I have not attended in over a month,yikyakyeo/image_type_1/
73,2022-05-26_02-53-46_UTC_5.jpg,i just want to date a nice little gay person but most of the gay people here aren't nice,yikyakyeo/image_type_1/
74,2022-11-26_20-34-27_UTC.jpg,Does anyone have basil I can borrow,yikyakyeo/image_type_1/
75,2022-06-03_12-49-46_UTC_1.jpg,"Sleep is just a time machine to breakfast, my dudes",yikyakyeo/image_type_1/
76,2022-04-22_19-32-52_UTC_4.jpg,"men will talk to each other like “yo we should jam some time" like damn just kiss already",yikyakyeo/image_type_1/
77,2022-05-10_01-40-15_UTC_10.jpg,some of you have got to stop doing that creepy shit where u whisper to yourself in the stall next to me while I'm pooping,yikyakyeo/image_type_1/
78,2022-03-13_03-27-33_UTC_3.jpg,Oberlin should start having punch cards where you get a punch every time you pass someone and awkwardly say hey and when you get 20 punches you get free azzies drink,yikyakyeo/image_type_1/
79,2022-05-12_03-37-15_UTC_1.jpg,The oberlin experience is checking instagram to see your president strutting on stage in a rhinestone bikini right after being told you have nowhere to live next year,yikyakyeo/image_type_1/
80,2022-10-08_18-19-21_UTC_9.jpg,winter term where i finally learn how to use meal swipes at decafe,yikyakyeo/image_type_1/
81,2022-09-07_21-52-35_UTC_6.jpg,OMG WAIT THERE WERE INSTRUCTIONS ON THE SIDE OF THE MAC AND CHEESE???,yikyakyeo/image_type_1/
82,2022-09-06_03-17-48_UTC_2.jpg,"So what I'm hearing is that Oberlin students will claw each other's eyes out to get with a average looking dude, but only if he stands on a stage and does a silly little routine",yikyakyeo/image_type_1/
83,2022-05-10_01-40-15_UTC_7.jpg,The best thing about anti depressants is how cost effective getting drunk becomes,yikyakyeo/image_type_1/
84,2022-02-09_01-52-38_UTC_4.jpg,so correct me if i'm wrong but the movie being filmed is like a commentary on poverty made by a guy using daddy's money??,yikyakyeo/image_type_1/
85,2022-04-18_01-34-18_UTC_3.jpg,i'm at the Passover party. i'm at the Easter party. i'm at the Ramadan party. i'm at the combination Passover and Easter and Ramadan party,yikyakyeo/image_type_1/
86,2022-10-27_03-42-20_UTC_5.jpg,"yikyakyeo post left my jaw on the floor, lowkey poetic",yikyakyeo/image_type_1/
87,2022-06-02_19-14-07_UTC_6.jpg,“severe thunderstorm watch” yeah im Watching it out the window rn bruh,yikyakyeo/image_type_1/
88,2022-10-10_16-13-20_UTC_9.jpg,The sexual tension between me and this painting of fruit is ripe,yikyakyeo/image_type_1/
89,2022-02-03_01-33-16_UTC_8.jpg,ZUCCHINI muffin from DECAFE counts as veggie INTAKE???,yikyakyeo/image_type_1/
90,2022-02-10_19-39-07_UTC_1.jpg,babe wake up new president ambar selfie just dropped,yikyakyeo/image_type_1/
91,2022-04-17_19-45-12_UTC_9.jpg,guys i've fucked up. i barked at a group of pro spies,yikyakyeo/image_type_1/
92,2022-05-24_18-53-44_UTC_8.jpg,The most recent superspreader event was the damn firedrill at south,yikyakyeo/image_type_1/
93,2022-05-20_20-50-34_UTC_7.jpg,Taking sociology classes is like taking politics classes but with fewer men,yikyakyeo/image_type_1/
94,2022-02-06_01-34-49_UTC_7.jpg,Anyone else's ears die as they walk through the sensors at mudd with headphones in,yikyakyeo/image_type_1/
95,2022-05-11_11-32-55_UTC_9.jpg,"Shipping container dorms, when?",yikyakyeo/image_type_1/
96,2022-09-04_18-33-45_UTC_1.jpg,I cant wait until all the first years start hating each other and there aren't groups of 20 people walking around campus,yikyakyeo/image_type_1/
97,2022-09-12_23-44-20_UTC_7.jpg,Imagine getting ur legs broken by a loan shark as u try to explain that your not very liquid rn bc all you money is tied up in Obie Dollars,yikyakyeo/image_type_1/
98,2022-07-21_19-35-56_UTC_2.jpg,"I don't think school really has any pros, but it definitely has one big Con....",yikyakyeo/image_type_1/
99,2022-04-26_02-12-19_UTC_7.jpg,"yk what jacob from college truckers wants me, so that's a start",yikyakyeo/image_type_1/
100,2022-05-27_04-16-09_UTC_10.jpg,sex ed helms,yikyakyeo/image_type_1/
101,2022-11-16_03-11-53_UTC_8.jpg,i'm over yik yak yeo not everything has to be comedy gold for you,yikyakyeo/image_type_1/
102,2022-05-31_03-21-25_UTC_1.jpg,oberlin has made my eating disorder ten times worse THERES NO FOOD AFTER 8 PM BRO even doordash and dominoes are way too busy to take any orders cuz the entire campus is hungry fix ur shit oberlin,yikyakyeo/image_type_1/
103,2022-09-09_04-27-26_UTC_9.jpg,spilled water and now my boobs are wet my cleavage is like a storm drain,yikyakyeo/image_type_1/
104,2022-03-03_01-34-08_UTC_6.jpg,"damn it's so obvious half of y'all spent your final years of highschool on ZOOM. cause U really didn't learn shit, and I'm sorry the school systems failed you.",yikyakyeo/image_type_1/
105,2022-01-28_03-37-57_UTC_9.jpg,The i in avi stands for indigestion,yikyakyeo/image_type_1/
106,2022-03-30_20-13-53_UTC_7.jpg,girl i matched with on tinder is so pretty i want to have a nice kiss with her and get a sandwich,yikyakyeo/image_type_1/
107,2022-01-29_00-53-24_UTC_7.jpg,"keeping my jacket unzipped so people can see the fit, it's drip or drown here",yikyakyeo/image_type_1/
108,2022-03-03_16-01-26_UTC_3.jpg,"Vladimir Putin, incensed by the recent statements from the Oberlin College President, discretely files a memo to change the target of a Russian ballistic missile sub stationed off the East Coast",yikyakyeo/image_type_1/
109,2022-03-09_03-19-19_UTC_5.jpg,"Dear Prof, Unfortunately I will not be able to make it to class today due to the trauma I sustained while trying to log into Spotify for 30 minutes.",yikyakyeo/image_type_1/
